quality	frequency	col_lee	col_iso	col_gc	syns
loyalty	2	purpose	Security	Ethical	"faithfulness 
commitment 
devotion 
allegiance 
reliability 
fidelity 
homage 
patriotism 
obedience 
constancy 
dependability 
trustworthiness 
steadfastness 
troth 
fealty 
staunchness 
trueness 
trustiness "
maintainability	2	purpose	Maintainability	Robustness	"conserve
support
preserve 
sustain 
carry on 
keep 
prolong 
uphold 
nurture  
perpetuate "
maturity	1	performance	Reliability	Reliability	"responsibility 
experience 
sense 
wisdom 
sophistication 
level-headedness 
matureness "
modifiability	1	purpose	Maintainability	Robustness	"adaptable
adjustable 
flexible 
compliant 
malleable 
pliant 
plastic 
modifiable 
alterable "
modularity	1	process	Maintainability	Robustness	"robust
compliant"
negotiation	1	process	Compatibility	Compatibility	"bargaining 
debate 
discussion 
transaction 
dialogue 
mediation 
arbitration "
non-discriminatory	1	purpose	Security	Ethical	"unbiased 
just 
fair 
equal 
objective 
neutral 
detached 
open-minded 
equitable 
impartial 
disinterested 
even-handed 
nonpartisan 
unprejudiced 
nondiscriminating "
non‑maleficence	1	purpose	Security	Ethical	"moral
caring"
openness	3	process	Regulatability	Regulatability	"frankness 
honesty 
truthfulness 
naturalness 
bluntness 
forthrightness 
ingenuousness 
artlessness 
guilelessness 
candidness 
freeness 
open-heartedness 
candour 
sincerity 
sincereness 
unreservedness "
operability	1	performance	Usability	Usability	"practicable 
user-friendly"
persistence	1	process	Reliability	Robustness	"determination 
resolution 
pluck 
stamina 
grit 
endurance 
tenacity 
diligence 
perseverance 
constancy 
steadfastness 
doggedness 
pertinacity 
indefatigability 
tirelessness "
predictable	4	performance	Reliability	Reliability	"likely 
expected 
sure 
certain 
anticipated 
reliable 
foreseen 
on the cards 
foreseeable 
sure-fire  
calculable "
principled	1	purpose	Compatibility	Ethical	"moral 
ethical 
upright 
honourable 
just 
correct 
decent 
righteous 
conscientious 
virtuous 
scrupulous 
right-minded 
high-minded "
privacy	2	process	Security	Security	"secrecy 
confidentiality 
confidential 
concealment 
clandestineness "
reasonable	2	purpose	Reliability	Ethical	"sensible 
reasoned 
sound 
practical 
wise 
intelligent 
rational 
logical 
sober 
credible 
plausible 
sane 
judicious 
grounded "
reciprocity	1	purpose	Compatibility	Ethical	"relation
complementarity
correlation
correlativity
interdependence
interdependency
mutuality
mutualness
reciprocal
interchange
reciprocation
give-and-take"
redundancy	1	purpose	Maintainability	Robustness	"superfluity 
excess 
surplus 
surfeit 
uselessness 
superabundance 
expendability 
backup
reserve
relief 
assistance 
reinforcement 
auxiliaries 
substitute 
reserve  
stand-in 
replacement "
regulation	1	process	Regulatability	Regulatability	"oversight
supervision 
keeping 
control 
charge 
care 
management 
handling 
administration 
direction 
custody 
stewardship 
superintendence "
reliability	14	performance	Reliability	Reliability	"dependable 
trustworthy 
honest 
responsible 
sure 
sound 
true 
certain 
regular 
stable 
faithful 
predictable 
upright 
staunch 
reputable 
trusty 
unfailing 
safe
failesafe
definitive 
attested "
replaceability	1	purpose	Portability	Robustness	"substitute 
change 
exchange 
switch 
swap "
resilient	2	performance	Reliability	Robustness	"suppleness 
give 
spring 
flexibility 
elasticity 
plasticity 
pliability 
springiness 
strength 
toughness 
adaptability 
hardiness "
responsibility	1	purpose	Reliability	Ethical	"duty 
business 
job 
role 
task 
function 
burden 
liability 
accountability 
onus 
answerability 
fault 
blame  
guilt 
culpability 
burden 
obligation   
charge 
care 
authority 
power 
control 
management 
leadership 
importance"
responsive	1	performance	Usability	Usability	"sensitive 
open 
aware 
sharp 
alive 
forthcoming 
sympathetic 
awake 
susceptible 
receptive 
reactive 
perceptive 
impressionable 
"
responsivity	1	purpose	Reliability	Compatibility	"sensitive 
open 
aware 
sharp 
alive 
forthcoming 
sympathetic 
awake 
susceptible 
receptive 
reactive 
perceptive 
impressionable 
"
reusability	1	process	Maintainability	Robustness	sustainable
robustness	4	performance	Portability	Robustness	"strong 
tough 
powerful 
athletic 
well 
sound 
fit 
healthy 
strapping 
hardy 
rude 
vigorous 
rugged 
muscular 
swole 
hench  
sturdy 
hale 
stout 
staunch 
hearty "
safe	5	process	Functional Stability	Security	"protected
secure
in safety
fine
intact
unscathed
unhurt
unharmed
cautious
prudent
sure
conservative
reliable
realistic
discreet
dependable
trustworthy
circumspect
on the safe side
unadventurous "
satisfying	1	purpose	Usability	Usability	"satisfactory 
pleasing 
enjoyable 
gratifying 
pleasurable 
cheering"
scalability	1	process	Portability	Robustness	"broad
comprehensive"
security	5	process	Security	Security	"safe
strengthen
fortify
safety 
protection 
safekeeping 
unassailability 
precautions 
defence 
safeguards 
guards  
surveillance "
sensible	1	process	Reliability	Ethical	"wise 
practical 
prudent 
shrewd 
well-informed 
judicious 
well-advised 
intelligent 
practical 
reasonable 
rational 
sound 
realistic 
sober 
discriminating 
discreet 
sage  
down-to-earth 
matter-of-fact  
sane 
canny  
far-sighted 
sagacious 
grounded "
sensitive	1	purpose	Usability	Compatibility	"thoughtful 
kind 
understanding 
feeling 
kindly 
concerned 
patient 
responsive 
intuitive 
receptive 
attentive 
perceptive 
considerate 
tactful 
unselfish"
sincerity	1	process	Compatibility	Ethical	"honesty 
truth 
candour 
frankness 
seriousness 
good faith 
probity  
bona fides  
genuineness 
straightforwardness 
artlessness 
guilelessness "
SLEEC	1	purpose	Usability	Ethical	"right 
good 
just 
fitting 
fair 
responsible 
principled 
correct 
decent 
proper 
upright 
honourable 
honest 
righteous 
virtuous 
"
specialist	1	performance	Functional Stability	Functionality	"expert 
authority 
professional 
master 
consultant 
guru 
buff  
whizz  
connoisseur 
boffin "
survivability	1	purpose	Reliability	Robustness	"live 
last 
exist 
endure 
subsist "
sustainability	1	purpose	Maintainability	Robustness	"balanced
harmonious"
tactfulness	1	process	Compatibility	Compatibility	"diplomatic 
politic 
discreet 
prudent 
understanding 
sensitive 
polished 
careful 
subtle 
delicate 
polite 
thoughtful 
perceptive 
considerate 
judicious "
testability	1	process	Maintainability	Regulatability	"assessable
measurable 
estimable 
determinable 
computable 
appraisable 
gaugeable 
judgeable 
ratable "
timely	3	performance	Performance Efficiency	Functionality	"opportune  
appropriate 
well-timed 
prompt 
suitable 
convenient 
judicious 
punctual 
propitious 
seasonable "
tolerance	2	performance	Reliability	Robustness	"broad-mindedness 
charity 
sympathy 
patience 
indulgence 
forbearance 
permissiveness 
magnanimity 
open-mindedness 
sufferance 
lenity 
endurance 
resistance 
stamina 
fortitude 
resilience 
toughness 
hardness 
hardiness
resistance 
immunity 
resilience "
traceability	1	purpose	Regulatability	Regulatability	"comprehensible 
clear 
straightforward 
coherent 
lucid 
user-friendly 
unambiguous 
intelligible 
digestible "
transparency	3	purpose	Regulatability	Regulatability	"understandable
interpretable
explainable
clear "
trustworthy	1	default	default	default	"dependable 
responsible 
principled 
mature 
sensible 
reliable 
ethical 
upright 
true 
honourable 
honest 
staunch 
righteous 
reputable 
truthful 
trusty 
steadfast 
responsible 
faithful
honest"
understandability	2	purpose	Regulatability	Regulatability	"understandable
interpretable
explainable
clear
"
understanding	3	process	Compatibility	Compatibility	"
compassionate
sympathetic
sensitive
considerate
tender
kind
kindly
kind-hearted
thoughtful
tolerant
patient
forbearing
lenient
merciful
forgiving
humane
human
good-natured
approachable
supportive
reassuring
tactful
diplomatic
perceptive
subtle
prudent"
usability	2	performance	Usability	Usability	"fit
convenient"
utility	1	process	Functional Stability	Functionality	"functional 
useful 
practical 
plain 
efficient 
sensible 
pragmatic 
unpretentious 
soulless 
serviceable 
unadorned 
workaday"
validate	1	process	Security	Security	"confirm 
prove 
certify 
substantiate 
corroborate 
authorize 
endorse 
ratify 
legalize 
authenticate "
volitional	1	purpose	Reliability	Functionality	"free
spontaneous
uncompelled
unforced
voluntary
willful
voluntary
willing"
well-behaved	2	process	Compatibility	Ethical	"obedient 
good 
disciplined 
restrained 
orderly 
respectful 
law-abiding 
compliant 
amenable 
submissive 
docile 
dutiful 
deferential 
tractable 
acquiescent 
biddable "
